Fabio Kerekes
Gerd Ingenstau
Marius Rupf
Antonio Lohner
Noah Böttner
Lasse Sell
Peter Mohn
Clemens Dähn
Frederike Burck
Torsten Liebermann
Karsten Schelter
Peter Engels
Hugo Nörr
Franz-Xaver Sowada
Chris Kannowski
Henry Preuth
Gerhard Helmes
Johannes Bördner
Noah Bertram
Aaron Strupp
Carl Ganz
Philipp Schewe
Arno Ulrici
Hermann Langenau
Bastian Parry
Alex Heckers
Stefan Schutzenbach
Ullrich Kasper
Erwin Wesnin
Pascal Heidler
Daniel Wohlfahrt
Noah Heyder
Wilfried Bader
Leon Gatzke
Heinrich Gerstenberger
Theodor Leu
Frederik Kuhn
Mario Bacher
Lennard Kümper
Laurin Herborn
Luca Limberg
Jan-Philipp Hänsch
Hans-Peter Tewes
Benedikt Pröhl
Bernd Pelzer
Henrik Meinke
Steven Helwig
Hartwig Völk
Thomas Baudach
Karl Schmidt
Kirsten Eberhard
Adelheid Oetting
Marlies Eichmann
Carmen Staack
Edeltraut Rohr
Jana Wagenknecht
Fiona Karch
Melanie Dauer
Lina Büttner
Alina Bardens
Birte Hilgendorf
Mareike Lukowniak
Janina Pachelbel
Katharina Stenz
Silvia Küppers
Rahel Braasch
Jule Thönges
Marianne Faßbender
Anni Wiening
Heidi Butz
Anni Faßbender
Lea Brucker
Melina Rosin
Annette Ferrari
Lydia Dubberstein
Pia Seibt
Juliane Badin
Tabea Mauerhöfer
Tatjana Huebner
Heidi Christian
Elli Heinitz
Alexandra Brandner
Mila Hänel
Juliane Sziel
Franziska Geeler
Kimberly Hake
Marlene Herkenhoff
Katharina Wicke
Cornelia Hirtz
Eva-Maria Wenz
Diana Dambeck
Hildegard Rau
Thore Pfeuffer
Melanie Huhle
Tina Palmer
Vera Fiebrig
Traute Theißen
Ilse Thenhart
Liselotte Wellenhofer
Monica Jungmann
Britta Küper
Lotte Kröner
Alena Teske
Klara Windhorst
Elisabeth Bertling
Marianne Beck
Nelly Kruck
Rebecca Frahm
Johanna Steinhöfer
Christa Himmel
Margarethe Hischemöller
Marianne Laschgari
Margarethe Domröse
Gabriela Gasch
Carola Bergen
Irmtraut Klinke
Laura Eissler
Chiara Odebrecht
Jenny Börgel
Kolja Maisch
Inga Pröhl
Sophia Alting
Lara Holzer
Christina Merten
Lara Pichler
Marita Kunze
